transaction_id,customer_id,product_id,store_id,timestamp,ts_str,ts_tz,quantity,amount,amount_str,discount_pct,discount_str,payment_method,status,device,channel,hi_value_flag
381,298,51,19,2024-12-02 17:27:42,2024/12/02 17:27,2024-12-02T17:27:42-05:00,4,112.22,$112.22,0,0%,card,completed,web,desktop,0
382,83,63,3,2025-05-08 16:09:54,08-May-2025 16:09:54,2025-05-08T16:09:54-05:00,5,1254.95,"$1,254.95",20,20%,card,completed,web,desktop,1
383,31,30,16,2025-07-03 09:11:19,03/07/2025 09:11,2025-07-03T09:11:19-05:00,2,420.29,$420.29,0,0%,card,completed,android,mobile,0
384,278,67,19,2024-12-04 06:04:07,04/12/2024 06:04,2024-12-04T06:04:07-05:00,1,49.05,$49.05,20,20%,card,pending,ios,mobile,0
385,179,1,16,2025-07-23 22:56:09,2025-07-23T22:56:09,2025-07-23T22:56:09-05:00,4,2981.27,"$2,981.27",5,5%,card,completed,android,mobile,1
386,192,43,17,2025-05-20 05:24:18,2025/05/20 05:24,2025-05-20T05:24:18-05:00,1,36.22,$36.22,25,25%,cash,completed,android,mobile,0
387,206,16,7,2025-04-23 09:26:18,2025-04-23T09:26:18,2025-04-23T09:26:18-05:00,3,300.82,$300.82,0,0%,card,pending,ios,mobile,0
388,129,54,15,2025-01-10 13:02:48,10-Jan-2025 13:02:48,2025-01-10T13:02:48-05:00,5,1076.52,"$1,076.52",15,15%,card,completed,android,mobile,1
389,44,27,1,2024-12-04 07:41:49,2024-12-04T07:41:49,2024-12-04T07:41:49-05:00,4,138.76,$138.76,0,0%,wallet,completed,android,mobile,0
390,97,38,16,2024-07-27 11:15:19,2024/07/27 11:15,2024-07-27T11:15:19-05:00,5,3416.98,"$3,416.98",10,10%,card,completed,android,mobile,1
391,151,71,3,2024-07-09 16:21:41,2024-07-09 16:21:41,2024-07-09T16:21:41-05:00,2,163.26,$163.26,15,15%,card,completed,web,desktop,0
392,224,6,7,2024-08-04 15:35:57,04-Aug-2024 15:35:57,2024-08-04T15:35:57-05:00,2,201.78,$201.78,5,5%,transfer,completed,web,desktop,0
393,74,63,15,2024-07-08 09:56:38,08-Jul-2024 09:56:38,2024-07-08T09:56:38-05:00,2,472.89,$472.89,20,20%,cash,completed,android,mobile,0
394,284,64,14,2025-03-18 14:46:02,2025-03-18T14:46:02,2025-03-18T14:46:02-05:00,3,774.12,$774.12,0,0%,card,pending,web,desktop,1
395,215,60,1,2025-06-02 23:56:09,02-Jun-2025 23:56:09,2025-06-02T23:56:09-05:00,3,197.19,$197.19,10,10%,card,completed,web,desktop,0
396,120,17,5,2024-09-18 06:53:15,2024-09-18 06:53:15,2024-09-18T06:53:15-05:00,1,122.72,$122.72,5,5%,card,completed,android,mobile,0
397,117,50,16,2025-01-18 22:32:27,2025/01/18 22:32,2025-01-18T22:32:27-05:00,2,419.09,$419.09,5,5%,transfer,completed,ios,mobile,0
398,274,42,16,2024-05-21 05:44:26,21-May-2024 05:44:26,2024-05-21T05:44:26-05:00,4,923.27,$923.27,0,0%,card,completed,web,desktop,1
399,47,9,13,2024-06-13 18:12:02,2024/06/13 18:12,2024-06-13T18:12:02-05:00,3,113.77,$113.77,0,0%,cash,pending,web,desktop,0
400,154,46,17,2024-07-19 16:02:16,2024/07/19 16:02,2024-07-19T16:02:16-05:00,2,229.29,$229.29,0,0%,wallet,completed,web,desktop,0
401,76,49,3,2024-08-05 05:12:43,2024-08-05T05:12:43,2024-08-05T05:12:43-05:00,3,428.97,$428.97,15,15%,wallet,completed,ios,mobile,0
402,46,46,4,2025-06-28 15:00:44,2025/06/28 15:00,2025-06-28T15:00:44-05:00,5,564.13,$564.13,5,5%,card,completed,web,desktop,0
403,200,29,7,2025-03-07 16:41:44,2025-03-07 16:41:44,2025-03-07T16:41:44-05:00,4,93.13,$93.13,5,5%,cash,completed,web,desktop,0
404,199,33,13,2025-02-05 06:37:47,05/02/2025 06:37,2025-02-05T06:37:47-05:00,4,2578.5,"$2,578.50",25,25%,cash,refunded,web,desktop,1
405,286,49,12,2024-03-07 11:56:28,07/03/2024 11:56,2024-03-07T11:56:28-05:00,2,271.33,$271.33,10,10%,card,completed,web,desktop,0
406,66,73,15,2025-07-13 07:09:52,13-Jul-2025 07:09:52,2025-07-13T07:09:52-05:00,5,921.29,$921.29,15,15%,cash,completed,ios,mobile,1
407,183,12,8,2025-01-14 11:45:04,2025-01-14T11:45:04,2025-01-14T11:45:04-05:00,2,34.62,$34.62,5,5%,card,pending,ios,mobile,0
408,192,22,18,2024-07-05 15:57:46,05-Jul-2024 15:57:46,2024-07-05T15:57:46-05:00,4,373.35,$373.35,10,10%,card,completed,ios,mobile,0
409,19,6,20,2025-05-16 16:30:09,16-May-2025 16:30:09,2025-05-16T16:30:09-05:00,3,348.44,$348.44,0,0%,card,completed,web,desktop,0
410,69,23,5,2024-12-14 02:34:44,2024-12-14 02:34:44,2024-12-14T02:34:44-05:00,1,147.78,$147.78,0,0%,card,completed,web,desktop,0
411,267,38,8,2024-03-13 06:38:24,2024/03/13 06:38,2024-03-13T06:38:24-05:00,2,1458.33,"$1,458.33",5,5%,wallet,completed,android,mobile,1
412,119,34,9,2024-06-21 02:51:22,21-Jun-2024 02:51:22,2024-06-21T02:51:22-05:00,2,396.1,$396.10,0,0%,card,completed,ios,mobile,0
413,4,42,13,2025-06-21 07:50:50,21/06/2025 07:50,2025-06-21T07:50:50-05:00,2,415.89,$415.89,10,10%,wallet,completed,android,mobile,0
414,81,74,2,2024-08-25 20:05:38,2024-08-25T20:05:38,2024-08-25T20:05:38-05:00,5,549.27,$549.27,10,10%,cash,completed,ios,mobile,0
415,139,53,4,2024-10-13 15:02:23,13-Oct-2024 15:02:23,2024-10-13T15:02:23-05:00,2,235.1,$235.10,0,0%,transfer,completed,ios,mobile,0
416,240,54,18,2025-03-05 21:29:01,2025-03-05T21:29:01,2025-03-05T21:29:01-05:00,5,1165.16,"$1,165.16",0,0%,card,pending,web,desktop,1
417,129,26,6,2024-09-24 00:06:08,24-Sep-2024 00:06:08,2024-09-24T00:06:08-05:00,5,1450.54,"$1,450.54",0,0%,wallet,completed,ios,mobile,1
418,242,38,19,2025-03-03 11:59:05,2025/03/03 11:59,2025-03-03T11:59:05-05:00,2,1459.98,"$1,459.98",0,0%,card,completed,web,desktop,1
419,289,59,18,2024-09-30 06:13:24,30-Sep-2024 06:13:24,2024-09-30T06:13:24-05:00,4,319.81,$319.81,15,15%,card,completed,ios,mobile,0
420,180,42,10,2024-07-29 10:14:53,2024/07/29 10:14,2024-07-29T10:14:53-05:00,2,423.26,$423.26,15,15%,card,completed,web,desktop,0
421,287,64,7,2024-07-14 06:30:15,14/07/2024 06:30,2024-07-14T06:30:15-05:00,1,260.13,$260.13,0,0%,card,completed,web,desktop,0
422,246,18,14,2024-04-03 17:11:19,03/04/2024 17:11,2024-04-03T17:11:19-05:00,5,2326.08,"$2,326.08",0,0%,card,refunded,android,mobile,1
423,218,36,1,2024-09-02 02:14:24,2024-09-02 02:14:24,2024-09-02T02:14:24-05:00,5,685.68,$685.68,0,0%,cash,completed,web,desktop,1
424,279,54,16,2025-07-31 00:18:24,2025-07-31T00:18:24,2025-07-31T00:18:24-05:00,1,201.87,$201.87,5,5%,card,completed,ios,mobile,0
425,182,13,19,2025-06-20 01:34:52,20/06/2025 01:34,2025-06-20T01:34:52-05:00,5,900.83,$900.83,5,5%,card,completed,android,mobile,1
426,108,28,18,2024-05-28 18:34:57,28/05/2024 18:34,2024-05-28T18:34:57-05:00,5,738.65,$738.65,10,10%,card,completed,android,mobile,1
427,204,16,8,2025-07-27 16:35:19,27-Jul-2025 16:35:19,2025-07-27T16:35:19-05:00,4,408.89,$408.89,0,0%,card,completed,ios,mobile,0
428,169,53,14,2024-08-02 18:19:35,2024-08-02T18:19:35,2024-08-02T18:19:35-05:00,2,236.5,$236.50,5,5%,cash,completed,web,desktop,0
429,143,70,1,2025-02-11 11:56:24,2025-02-11T11:56:24,2025-02-11T11:56:24-05:00,4,270.96,$270.96,10,10%,card,completed,web,desktop,0
430,237,40,13,2024-08-07 19:28:41,2024-08-07 19:28:41,2024-08-07T19:28:41-05:00,3,80.46,$80.46,15,15%,card,completed,web,desktop,0
431,300,12,5,2024-05-30 18:36:50,2024/05/30 18:36,2024-05-30T18:36:50-05:00,1,14.82,$14.82,5,5%,wallet,completed,android,mobile,0
432,197,58,14,2024-06-25 16:35:36,2024/06/25 16:35,2024-06-25T16:35:36-05:00,3,722.57,$722.57,0,0%,card,completed,android,mobile,1
433,256,51,10,2024-05-19 09:01:58,2024/05/19 09:01,2024-05-19T09:01:58-05:00,3,83.7,$83.70,10,10%,card,completed,web,desktop,0
434,4,18,16,2024-01-11 23:44:40,2024-01-11T23:44:40,2024-01-11T23:44:40-05:00,4,1892.59,"$1,892.59",0,0%,transfer,completed,android,mobile,1
435,146,43,3,2024-04-08 07:40:38,2024/04/08 07:40,2024-04-08T07:40:38-05:00,1,32.96,$32.96,15,15%,card,completed,web,desktop,0
436,207,28,10,2024-02-05 08:28:26,2024-02-05 08:28:26,2024-02-05T08:28:26-05:00,4,521.44,$521.44,0,0%,card,completed,web,desktop,0
437,251,35,14,2025-03-05 19:21:31,2025/03/05 19:21,2025-03-05T19:21:31-05:00,2,437.33,$437.33,0,0%,card,completed,web,desktop,0
438,59,73,4,2025-06-25 16:48:08,25/06/2025 16:48,2025-06-25T16:48:08-05:00,2,387.83,$387.83,0,0%,transfer,completed,android,mobile,0
439,48,51,11,2025-05-10 10:45:07,10-May-2025 10:45:07,2025-05-10T10:45:07-05:00,2,56.42,$56.42,5,5%,card,completed,ios,mobile,0
440,27,68,16,2024-03-20 16:22:20,2024-03-20 16:22:20,2024-03-20T16:22:20-05:00,4,451.57,$451.57,15,15%,cash,pending,android,mobile,0
441,124,49,12,2025-03-21 21:19:57,2025/03/21 21:19,2025-03-21T21:19:57-05:00,5,663.77,$663.77,20,20%,card,pending,ios,mobile,0
442,207,23,16,2024-12-30 14:11:35,30-Dec-2024 14:11:35,2024-12-30T14:11:35-05:00,5,705.31,$705.31,5,5%,transfer,completed,ios,mobile,1
443,206,62,4,2024-12-08 02:56:00,2024/12/08 02:56,2024-12-08T02:56:00-05:00,4,1027.22,"$1,027.22",25,25%,card,completed,web,desktop,1
444,34,66,5,2024-05-23 04:47:16,2024-05-23 04:47:16,2024-05-23T04:47:16-05:00,2,81.43,$81.43,0,0%,card,completed,web,desktop,0
445,128,51,8,2024-07-15 02:32:17,15-Jul-2024 02:32:17,2024-07-15T02:32:17-05:00,1,27.49,$27.49,0,0%,card,completed,web,desktop,0
446,69,58,20,2024-03-29 14:44:18,2024-03-29 14:44:18,2024-03-29T14:44:18-05:00,5,1203.76,"$1,203.76",5,5%,card,completed,web,desktop,1
447,97,62,11,2024-11-07 05:43:41,07-Nov-2024 05:43:41,2024-11-07T05:43:41-05:00,1,270.16,$270.16,0,0%,card,pending,android,mobile,0
448,219,21,16,2024-02-27 12:59:30,2024-02-27T12:59:30,2024-02-27T12:59:30-05:00,4,62.17,$62.17,0,0%,wallet,completed,ios,mobile,0
449,198,57,19,2025-05-03 21:43:06,2025-05-03 21:43:06,2025-05-03T21:43:06-05:00,1,165.3,$165.30,0,0%,cash,completed,web,desktop,0
450,127,55,20,2024-04-27 20:23:47,27/04/2024 20:23,2024-04-27T20:23:47-05:00,4,2375.32,"$2,375.32",20,20%,card,completed,web,desktop,1
451,87,73,17,2025-03-13 04:05:25,2025/03/13 04:05,2025-03-13T04:05:25-05:00,5,947.59,$947.59,20,20%,card,completed,android,mobile,1
452,276,73,17,2024-03-07 03:53:13,07/03/2024 03:53,2024-03-07T03:53:13-05:00,3,509.34,$509.34,5,5%,cash,completed,android,mobile,0
453,246,71,17,2024-04-02 00:05:49,2024-04-02T00:05:49,2024-04-02T00:05:49-05:00,4,292.85,$292.85,0,0%,card,completed,android,mobile,0
454,285,73,4,2024-11-19 06:02:45,2024-11-19T06:02:45,2024-11-19T06:02:45-05:00,3,492.87,$492.87,0,0%,card,completed,web,desktop,0
455,286,75,3,2025-04-08 00:36:35,2025-04-08T00:36:35,2025-04-08T00:36:35-05:00,1,434.96,$434.96,0,0%,card,completed,web,desktop,0
456,214,27,19,2024-06-24 07:06:47,2024-06-24T07:06:47,2024-06-24T07:06:47-05:00,5,196.84,$196.84,0,0%,card,completed,web,desktop,0
457,96,62,7,2024-10-22 10:45:37,22-Oct-2024 10:45:37,2024-10-22T10:45:37-05:00,4,987.33,$987.33,15,15%,card,completed,ios,mobile,1
458,82,44,8,2024-12-09 20:55:03,2024/12/09 20:55,2024-12-09T20:55:03-05:00,2,458.54,$458.54,0,0%,card,completed,android,mobile,0
459,200,51,3,2025-04-02 02:54:13,02-Apr-2025 02:54:13,2025-04-02T02:54:13-05:00,2,50.0,$50.00,0,0%,transfer,refunded,web,desktop,0
460,204,66,11,2024-08-25 04:42:01,2024-08-25T04:42:01,2024-08-25T04:42:01-05:00,4,155.42,$155.42,0,0%,transfer,completed,ios,mobile,0
461,140,5,12,2025-04-27 08:47:18,2025-04-27 08:47:18,2025-04-27T08:47:18-05:00,2,337.9,$337.90,15,15%,card,completed,ios,mobile,0
462,108,17,4,2025-04-18 12:20:37,2025-04-18 12:20:37,2025-04-18T12:20:37-05:00,1,142.05,$142.05,10,10%,card,completed,web,desktop,0
463,45,58,19,2024-06-10 09:26:50,10/06/2024 09:26,2024-06-10T09:26:50-05:00,2,473.16,$473.16,0,0%,transfer,completed,web,desktop,0
464,214,74,19,2024-07-24 13:21:40,2024-07-24 13:21:40,2024-07-24T13:21:40-05:00,3,291.43,$291.43,5,5%,card,completed,android,mobile,0
465,138,17,20,2024-05-01 23:45:23,01/05/2024 23:45,2024-05-01T23:45:23-05:00,3,401.25,$401.25,10,10%,card,completed,web,desktop,0
466,4,24,3,2024-05-15 00:07:09,2024-05-15T00:07:09,2024-05-15T00:07:09-05:00,3,185.24,$185.24,0,0%,cash,completed,web,desktop,0
467,296,68,14,2024-02-28 07:18:38,28/02/2024 07:18,2024-02-28T07:18:38-05:00,5,551.33,$551.33,10,10%,card,completed,ios,mobile,0
468,249,52,2,2024-01-03 01:52:44,03-Jan-2024 01:52:44,2024-01-03T01:52:44-05:00,4,915.15,$915.15,20,20%,card,completed,android,mobile,1
469,216,69,20,2024-12-15 21:59:51,2024-12-15T21:59:51,2024-12-15T21:59:51-05:00,5,77.26,$77.26,10,10%,cash,pending,web,desktop,0
470,40,45,3,2024-12-30 23:48:12,2024/12/30 23:48,2024-12-30T23:48:12-05:00,3,95.09,$95.09,5,5%,cash,completed,ios,mobile,0
471,116,34,3,2024-01-26 08:27:03,26/01/2024 08:27,2024-01-26T08:27:03-05:00,3,562.67,$562.67,0,0%,wallet,completed,ios,mobile,0
472,226,50,16,2024-08-11 18:39:51,2024/08/11 18:39,2024-08-11T18:39:51-05:00,1,202.05,$202.05,0,0%,card,completed,web,desktop,0
473,238,70,6,2025-06-30 00:38:16,30-Jun-2025 00:38:16,2025-06-30T00:38:16-05:00,2,154.8,$154.80,10,10%,card,completed,web,desktop,0
474,49,52,1,2024-02-25 06:53:12,25/02/2024 06:53,2024-02-25T06:53:12-05:00,2,492.09,$492.09,0,0%,cash,completed,web,desktop,0
475,138,42,16,2024-07-24 11:39:20,2024-07-24T11:39:20,2024-07-24T11:39:20-05:00,4,902.57,$902.57,0,0%,card,completed,android,mobile,1
476,169,59,5,2025-05-28 13:20:42,28/05/2025 13:20,2025-05-28T13:20:42-05:00,4,372.71,$372.71,15,15%,cash,completed,web,desktop,0
477,128,7,10,2024-11-26 05:09:53,2024-11-26 05:09:53,2024-11-26T05:09:53-05:00,5,119.78,$119.78,0,0%,transfer,refunded,web,desktop,0
478,48,19,9,2025-02-26 23:22:42,26/02/2025 23:22,2025-02-26T23:22:42-05:00,5,3001.35,"$3,001.35",0,0%,card,completed,android,mobile,1
479,29,11,1,2025-05-18 00:47:10,18/05/2025 00:47,2025-05-18T00:47:10-05:00,2,353.86,$353.86,0,0%,card,completed,web,desktop,0
480,164,75,15,2024-07-25 07:44:53,25/07/2024 07:44,2024-07-25T07:44:53-05:00,2,867.28,$867.28,5,5%,card,completed,android,mobile,1
481,43,67,19,2024-02-25 11:10:33,2024-02-25 11:10:33,2024-02-25T11:10:33-05:00,2,114.33,$114.33,10,10%,card,completed,web,desktop,0
482,188,61,10,2024-05-08 21:01:29,2024/05/08 21:01,2024-05-08T21:01:29-05:00,2,64.88,$64.88,5,5%,card,refunded,web,desktop,0
483,218,61,13,2025-04-07 04:25:29,2025-04-07T04:25:29,2025-04-07T04:25:29-05:00,2,70.32,$70.32,0,0%,card,completed,ios,mobile,0
484,257,16,5,2024-08-12 04:05:28,12-Aug-2024 04:05:28,2024-08-12T04:05:28-05:00,3,310.58,$310.58,20,20%,card,completed,web,desktop,0
485,155,38,6,2024-04-06 14:07:12,06-Apr-2024 14:07:12,2024-04-06T14:07:12-05:00,1,758.83,$758.83,0,0%,cash,completed,web,desktop,1
486,248,20,8,2025-06-18 21:53:17,2025/06/18 21:53,2025-06-18T21:53:17-05:00,2,97.66,$97.66,10,10%,card,completed,ios,mobile,0
487,285,36,20,2025-06-27 11:58:52,27-Jun-2025 11:58:52,2025-06-27T11:58:52-05:00,5,617.57,$617.57,0,0%,cash,pending,web,desktop,0
488,166,31,14,2024-07-30 11:02:12,2024-07-30T11:02:12,2024-07-30T11:02:12-05:00,5,1001.79,"$1,001.79",0,0%,cash,completed,web,desktop,1
489,220,72,5,2025-02-23 09:59:09,23-Feb-2025 09:59:09,2025-02-23T09:59:09-05:00,2,246.46,$246.46,0,0%,card,completed,ios,mobile,0
490,129,74,10,2024-12-06 00:25:00,2024-12-06 00:25:00,2024-12-06T00:25:00-05:00,4,411.91,$411.91,0,0%,cash,completed,android,mobile,0
491,82,2,12,2025-04-09 12:12:41,2025-04-09 12:12:41,2025-04-09T12:12:41-05:00,5,14.64,$14.64,25,25%,card,completed,web,desktop,0
492,117,3,14,2024-12-01 13:35:52,2024/12/01 13:35,2024-12-01T13:35:52-05:00,3,123.7,$123.70,10,10%,card,completed,web,desktop,0
493,35,24,4,2025-04-13 22:02:16,2025/04/13 22:02,2025-04-13T22:02:16-05:00,3,192.79,$192.79,0,0%,card,completed,ios,mobile,0
494,218,68,11,2024-01-21 02:09:23,2024-01-21 02:09:23,2024-01-21T02:09:23-05:00,5,556.53,$556.53,25,25%,card,completed,web,desktop,0
495,215,71,7,2024-06-26 19:27:37,2024-06-26T19:27:37,2024-06-26T19:27:37-05:00,3,227.37,$227.37,20,20%,card,pending,web,desktop,0
496,132,20,18,2025-04-01 00:45:52,2025-04-01 00:45:52,2025-04-01T00:45:52-05:00,5,260.41,$260.41,10,10%,card,completed,web,desktop,0
497,36,55,16,2025-06-06 04:14:13,2025/06/06 04:14,2025-06-06T04:14:13-05:00,2,1290.05,"$1,290.05",0,0%,card,completed,ios,mobile,1
498,181,36,4,2025-03-23 14:01:20,2025-03-23 14:01:20,2025-03-23T14:01:20-05:00,4,499.6,$499.60,0,0%,card,completed,web,desktop,0
499,100,44,7,2024-05-16 01:47:30,16-May-2024 01:47:30,2024-05-16T01:47:30-05:00,5,1067.98,"$1,067.98",5,5%,transfer,completed,android,mobile,1
500,49,2,20,2025-02-07 02:11:13,07-Feb-2025 02:11:13,2025-02-07T02:11:13-05:00,3,9.12,$9.12,0,0%,card,pending,web,desktop,0
501,297,16,4,2024-08-04 01:12:51,04/08/2024 01:12,2024-08-04T01:12:51-05:00,4,384.77,$384.77,0,0%,card,completed,web,desktop,0
502,32,74,11,2025-03-30 15:20:06,30-Mar-2025 15:20:06,2025-03-30T15:20:06-05:00,1,115.94,$115.94,0,0%,cash,completed,android,mobile,0
503,62,57,18,2025-05-08 01:14:41,08-May-2025 01:14:41,2025-05-08T01:14:41-05:00,1,143.01,$143.01,10,10%,card,completed,ios,mobile,0
504,172,75,14,2024-03-11 20:52:54,11-Mar-2024 20:52:54,2024-03-11T20:52:54-05:00,3,1186.25,"$1,186.25",5,5%,card,completed,android,mobile,1
505,255,20,16,2024-09-27 06:27:51,27-Sep-2024 06:27:51,2024-09-27T06:27:51-05:00,1,50.74,$50.74,0,0%,card,completed,web,desktop,0
506,8,44,2,2024-09-15 21:19:07,2024/09/15 21:19,2024-09-15T21:19:07-05:00,4,965.66,$965.66,25,25%,card,completed,ios,mobile,1
507,67,30,18,2025-06-04 12:11:38,2025-06-04 12:11:38,2025-06-04T12:11:38-05:00,4,925.4,$925.40,0,0%,card,completed,web,desktop,1
508,3,46,4,2024-05-04 21:59:33,2024/05/04 21:59,2024-05-04T21:59:33-05:00,1,112.06,$112.06,20,20%,card,completed,web,desktop,0
509,246,41,12,2024-11-15 17:37:14,15-Nov-2024 17:37:14,2024-11-15T17:37:14-05:00,4,988.66,$988.66,0,0%,card,completed,web,desktop,1
510,256,56,11,2024-08-11 20:46:08,11-Aug-2024 20:46:08,2024-08-11T20:46:08-05:00,1,187.8,$187.80,5,5%,card,completed,web,desktop,0
511,3,26,6,2025-03-03 06:32:38,2025-03-03 06:32:38,2025-03-03T06:32:38-05:00,3,855.55,$855.55,20,20%,transfer,completed,web,desktop,1
512,146,52,14,2024-12-19 06:34:10,2024-12-19 06:34:10,2024-12-19T06:34:10-05:00,4,1051.67,"$1,051.67",0,0%,card,completed,web,desktop,1
513,264,57,15,2024-09-01 07:01:29,2024/09/01 07:01,2024-09-01T07:01:29-05:00,1,141.06,$141.06,10,10%,cash,completed,web,desktop,0
514,211,27,8,2024-09-08 02:15:36,2024-09-08 02:15:36,2024-09-08T02:15:36-05:00,2,73.18,$73.18,5,5%,card,completed,ios,mobile,0
515,289,16,7,2024-11-09 22:22:08,2024-11-09T22:22:08,2024-11-09T22:22:08-05:00,2,180.38,$180.38,0,0%,card,completed,ios,mobile,0
516,133,22,15,2024-01-01 21:27:26,2024-01-01T21:27:26,2024-01-01T21:27:26-05:00,5,395.67,$395.67,5,5%,card,completed,web,desktop,0
517,282,16,13,2024-12-24 19:51:47,24-Dec-2024 19:51:47,2024-12-24T19:51:47-05:00,1,96.02,$96.02,5,5%,cash,pending,android,mobile,0
518,166,18,9,2024-02-12 02:26:14,12/02/2024 02:26,2024-02-12T02:26:14-05:00,4,1621.55,"$1,621.55",5,5%,card,pending,web,desktop,1
519,262,26,7,2025-02-06 16:24:38,2025/02/06 16:24,2025-02-06T16:24:38-05:00,4,1197.0,"$1,197.00",5,5%,card,completed,web,desktop,1
520,141,10,9,2025-04-28 14:44:11,28-Apr-2025 14:44:11,2025-04-28T14:44:11-05:00,4,775.04,$775.04,20,20%,cash,completed,ios,mobile,1
521,120,59,6,2025-04-30 18:27:50,30-Apr-2025 18:27:50,2025-04-30T18:27:50-05:00,1,90.52,$90.52,5,5%,card,refunded,android,mobile,0
522,121,68,5,2024-02-10 02:06:47,10/02/2024 02:06,2024-02-10T02:06:47-05:00,1,117.38,$117.38,10,10%,transfer,completed,web,desktop,0
523,173,48,3,2024-07-26 10:17:20,2024-07-26T10:17:20,2024-07-26T10:17:20-05:00,4,133.0,$133.00,15,15%,transfer,completed,web,desktop,0
524,42,43,16,2024-04-11 18:15:48,2024/04/11 18:15,2024-04-11T18:15:48-05:00,2,62.89,$62.89,10,10%,card,completed,android,mobile,0
525,31,26,3,2024-12-06 07:04:33,06-Dec-2024 07:04:33,2024-12-06T07:04:33-05:00,2,616.99,$616.99,10,10%,card,completed,web,desktop,0
526,294,21,1,2024-04-04 07:32:46,2024-04-04 07:32:46,2024-04-04T07:32:46-05:00,5,83.85,$83.85,0,0%,card,completed,web,desktop,0
527,17,40,20,2025-05-04 08:27:59,2025-05-04T08:27:59,2025-05-04T08:27:59-05:00,3,91.1,$91.10,15,15%,card,pending,android,mobile,0
528,85,11,5,2024-07-04 20:49:40,04/07/2024 20:49,2024-07-04T20:49:40-05:00,3,587.93,$587.93,0,0%,wallet,completed,web,desktop,0
529,115,60,11,2024-08-29 08:48:08,2024-08-29T08:48:08,2024-08-29T08:48:08-05:00,1,65.13,$65.13,5,5%,wallet,completed,android,mobile,0
530,180,45,20,2024-01-11 14:54:37,2024-01-11T14:54:37,2024-01-11T14:54:37-05:00,5,152.21,$152.21,10,10%,card,completed,web,desktop,0
531,225,1,19,2024-11-12 21:29:51,2024-11-12 21:29:51,2024-11-12T21:29:51-05:00,5,4052.72,"$4,052.72",10,10%,card,refunded,ios,mobile,1
532,261,22,7,2024-06-23 12:43:25,2024-06-23 12:43:25,2024-06-23T12:43:25-05:00,5,395.86,$395.86,0,0%,cash,pending,web,desktop,0
533,104,33,8,2024-12-24 10:00:43,2024-12-24 10:00:43,2024-12-24T10:00:43-05:00,2,1413.15,"$1,413.15",15,15%,card,completed,web,desktop,1
534,89,46,16,2025-05-18 02:11:01,18/05/2025 02:11,2025-05-18T02:11:01-05:00,4,398.31,$398.31,10,10%,card,completed,web,desktop,0
535,15,36,17,2025-01-22 02:23:33,2025/01/22 02:23,2025-01-22T02:23:33-05:00,5,624.35,$624.35,10,10%,transfer,completed,android,mobile,0
536,90,69,16,2025-01-30 06:03:42,2025/01/30 06:03,2025-01-30T06:03:42-05:00,3,45.72,$45.72,10,10%,transfer,completed,ios,mobile,0
537,153,21,17,2024-11-18 17:18:04,18-Nov-2024 17:18:04,2024-11-18T17:18:04-05:00,1,15.26,$15.26,0,0%,card,completed,android,mobile,0
538,77,23,14,2025-01-01 18:48:53,01/01/2025 18:48,2025-01-01T18:48:53-05:00,1,153.44,$153.44,5,5%,card,completed,ios,mobile,0
539,219,70,3,2024-12-20 19:07:01,2024-12-20T19:07:01,2024-12-20T19:07:01-05:00,5,360.34,$360.34,5,5%,wallet,completed,web,desktop,0
540,218,61,17,2024-04-22 08:19:18,22-Apr-2024 08:19:18,2024-04-22T08:19:18-05:00,3,102.02,$102.02,5,5%,card,completed,android,mobile,0
541,228,17,9,2024-05-28 01:14:05,2024-05-28T01:14:05,2024-05-28T01:14:05-05:00,3,429.71,$429.71,0,0%,cash,completed,web,desktop,0
542,103,55,1,2025-01-29 18:17:48,29/01/2025 18:17,2025-01-29T18:17:48-05:00,5,3026.81,"$3,026.81",10,10%,card,pending,web,desktop,1
543,182,71,14,2024-02-24 05:21:15,2024/02/24 05:21,2024-02-24T05:21:15-05:00,2,156.99,$156.99,0,0%,card,completed,ios,mobile,0
544,256,58,16,2024-11-18 07:05:14,2024/11/18 07:05,2024-11-18T07:05:14-05:00,5,1125.69,"$1,125.69",10,10%,card,completed,web,desktop,1
545,37,26,9,2025-01-29 08:54:58,2025/01/29 08:54,2025-01-29T08:54:58-05:00,4,1155.49,"$1,155.49",0,0%,cash,completed,web,desktop,1
546,235,63,11,2024-01-02 23:49:11,2024/01/02 23:49,2024-01-02T23:49:11-05:00,1,246.83,$246.83,5,5%,card,completed,web,desktop,0
547,101,37,15,2025-07-17 22:34:16,2025/07/17 22:34,2025-07-17T22:34:16-05:00,5,807.3,$807.30,0,0%,card,completed,web,desktop,1
548,166,23,19,2025-03-31 21:18:43,2025-03-31T21:18:43,2025-03-31T21:18:43-05:00,3,429.19,$429.19,25,25%,cash,completed,android,mobile,0
549,50,14,10,2025-05-27 14:11:14,27-May-2025 14:11:14,2025-05-27T14:11:14-05:00,3,544.49,$544.49,0,0%,cash,completed,ios,mobile,0
550,75,39,10,2024-04-25 10:01:09,25-Apr-2024 10:01:09,2024-04-25T10:01:09-05:00,3,491.61,$491.61,10,10%,card,pending,web,desktop,0
551,151,13,5,2025-02-22 07:52:10,22-Feb-2025 07:52:10,2025-02-22T07:52:10-05:00,4,696.44,$696.44,5,5%,card,completed,ios,mobile,1
